win,draw,loss,points,win_pct,for,against,streak,team,rank,gw,season
3,1,5,10,0.389,371.7,418.8,1 (L),Bench Warmers FC,7,9,12
1,1,7,4,0.167,328.4,424.5,8 (Wnl),Seanhampton FC,8,9,12
8,1,1,25,0.85,538.9,382.0,6 (Und),Sa Lah Land,1,10,12
6,1,3,19,0.65,496.8,386.4,1 (W),I_De_Zerbit,2,10,12
5,1,4,16,0.55,512.8,439.5,1 (L),RATABE,3,10,12
5,1,4,16,0.55,424.4,465.9,4 (Und),HappyHaalandays,4,10,12
4,1,5,13,0.45,434.6,465.1,1 (W),Bench Warmers FC,5,10,12
4,1,5,13,0.45,343.8,443.6,1 (L),Mo Mané Mo Problems,6,10,12
3,1,6,10,0.35,442.3,482.1,4 (Wnl),Benford F.C.,7,10,12
1,1,8,4,0.15,368.0,497.0,9 (Wnl),Seanhampton FC,8,10,12
9,1,1,28,0.864,607.4,433.4,7 (Und),Sa Lah Land,1,11,12
6,1,4,19,0.591,566.9,478.3,1 (W),RATABE,2,11,12
6,1,4,19,0.591,548.2,454.9,1 (L),I_De_Zerbit,3,11,12
5,1,5,16,0.5,490.4,517.4,2 (W),Bench Warmers FC,4,11,12
5,1,5,16,0.5,450.2,514.7,1 (L),HappyHaalandays,5,11,12
4,1,6,13,0.409,382.6,497.7,2 (L),Mo Mané Mo Problems,6,11,12
3,1,7,10,0.318,494.6,537.9,5 (Wnl),Benford F.C.,7,11,12
2,1,8,7,0.227,416.8,522.8,1 (W),Seanhampton FC,8,11,12
10,1,1,31,0.875,660.1,483.9,8 (Und),Sa Lah Land,1,12,12
7,1,4,22,0.625,599.9,500.4,1 (W),I_De_Zerbit,2,12,12
6,1,5,19,0.542,612.4,530.0,1 (L),RATABE,3,12,12
6,1,5,19,0.542,542.9,549.9,3 (W),Bench Warmers FC,4,12,12
5,1,6,16,0.458,482.7,567.2,2 (L),HappyHaalandays,5,12,12
5,1,6,16,0.458,439.6,539.5,1 (W),Mo Mané Mo Problems,6,12,12
3,1,8,10,0.292,536.4,594.9,6 (Wnl),Benford F.C.,7,12,12
2,1,9,7,0.208,467.3,575.5,1 (L),Seanhampton FC,8,12,12
10,1,2,31,0.808,695.8,545.1,1 (L),Sa Lah Land,1,13,12
8,1,4,25,0.654,645.3,537.9,2 (W),I_De_Zerbit,2,13,12
7,1,5,22,0.577,672.2,569.4,1 (W),RATABE,3,13,12
6,1,6,19,0.5,582.6,592.1,1 (L),Bench Warmers FC,4,13,12
6,1,6,19,0.5,543.9,602.9,1 (W),HappyHaalandays,5,13,12
6,1,6,19,0.5,481.8,579.2,2 (W),Mo Mané Mo Problems,6,13,12
3,1,9,10,0.269,573.9,640.3,7 (Wnl),Benford F.C.,7,13,12
2,1,10,7,0.192,506.7,635.3,2 (L),Seanhampton FC,8,13,12
11,1,2,34,0.821,770.1,615.4,1 (W),Sa Lah Land,1,14,12
8,1,5,25,0.607,681.8,599.5,1 (L),I_De_Zerbit,2,14,12
7,1,6,22,0.536,742.5,643.7,1 (L),RATABE,3,14,12
7,1,6,22,0.536,644.2,628.6,1 (W),Bench Warmers FC,4,14,12
7,1,6,22,0.536,603.3,652.4,2 (W),HappyHaalandays,5,14,12
6,1,7,19,0.464,531.3,638.6,1 (L),Mo Mané Mo Problems,6,14,12
4,1,9,13,0.321,640.1,689.2,1 (W),Benford F.C.,7,14,12
2,1,11,7,0.179,555.6,701.5,3 (L),Seanhampton FC,8,14,12
12,1,2,37,0.833,839.8,659.4,2 (W),Sa Lah Land,1,15,12
9,1,5,28,0.633,736.2,641.1,1 (W),I_De_Zerbit,2,15,12
8,1,6,25,0.567,788.3,681.9,1 (W),RATABE,3,15,12
8,1,6,25,0.567,701.1,656.2,2 (W),Bench Warmers FC,4,15,12
7,1,7,22,0.5,641.5,698.2,1 (L),HappyHaalandays,5,15,12
6,1,8,19,0.433,572.9,693.0,2 (L),Mo Mané Mo Problems,6,15,12
4,1,10,13,0.3,684.1,758.9,1 (L),Benford F.C.,7,15,12
2,1,12,7,0.167,583.2,758.4,4 (L),Seanhampton FC,8,15,12
13,1,2,40,0.844,903.6,703.8,3 (W),Sa Lah Land,1,16,12
10,1,5,31,0.656,775.2,671.5,2 (W),I_De_Zerbit,2,16,12
9,1,6,28,0.594,846.1,731.4,2 (W),RATABE,3,16,12
8,1,7,25,0.531,745.5,720.0,1 (L),Bench Warmers FC,4,16,12
7,1,8,22,0.469,671.9,737.2,2 (L),HappyHaalandays,5,16,12
6,1,9,19,0.406,626.7,754.6,3 (L),Mo Mané Mo Problems,6,16,12
4,1,11,13,0.281,733.6,816.7,2 (L),Benford F.C.,7,16,12
3,1,12,10,0.219,644.8,812.2,1 (W),Seanhampton FC,8,16,12
14,1,2,43,0.853,974.6,737.1,4 (W),Sa Lah Land,1,17,12
10,1,6,31,0.618,825.7,735.5,1 (L),I_De_Zerbit,2,17,12
9,1,7,28,0.559,881.8,790.6,1 (L),RATABE,3,17,12
9,1,7,28,0.559,804.7,755.7,1 (W),Bench Warmers FC,4,17,12
7,1,9,22,0.441,692.9,811.1,3 (L),HappyHaalandays,5,17,12
6,1,10,19,0.382,660.0,825.6,4 (L),Mo Mané Mo Problems,6,17,12
5,1,11,16,0.324,807.5,837.7,1 (W),Benford F.C.,7,17,12
4,1,12,13,0.265,708.8,862.7,2 (W),Seanhampton FC,8,17,12
15,1,2,46,0.861,1039.9,788.1,5 (W),Sa Lah Land,1,18,12
10,1,7,31,0.583,928.5,818.5,1 (W),RATABE,2,18,12
10,1,7,31,0.583,876.7,800.8,2 (L),I_De_Zerbit,3,18,12
9,1,8,28,0.528,849.4,805.2,1 (L),Bench Warmers FC,4,18,12
7,1,10,22,0.417,710.9,854.2,4 (L),HappyHaalandays,5,18,12
6,1,11,19,0.361,857.0,882.4,2 (W),Benford F.C.,6,18,12
6,1,11,19,0.361,687.9,872.3,5 (L),Mo Mané Mo Problems,7,18,12
5,1,12,16,0.306,751.9,880.7,3 (W),Seanhampton FC,8,18,12
16,1,2,49,0.868,1115.5,847.8,6 (W),Sa Lah Land,1,19,12
11,1,7,34,0.605,943.0,844.7,1 (W),I_De_Zerbit,2,19,12
10,1,8,31,0.553,972.4,884.8,1 (L),RATABE,3,19,12
10,1,8,31,0.553,914.9,846.5,1 (W),Bench Warmers FC,4,19,12
7,1,11,22,0.395,896.1,919.5,3 (W),Benford F.C.,5,19,12
7,1,11,22,0.395,752.2,919.7,5 (L),HappyHaalandays,6,19,12
6,1,12,19,0.342,725.0,911.4,6 (L),Mo Mané Mo Problems,7,19,12
5,1,13,16,0.289,811.6,956.3,1 (L),Seanhampton FC,8,19,12
17,1,2,52,0.875,1166.4,883.6,7 (W),Sa Lah Land,1,20,12
11,1,8,34,0.575,1026.2,929.3,1 (W),RATABE,2,20,12
11,1,8,34,0.575,1013.3,923.0,1 (L),I_De_Zerbit,3,20,12
11,1,8,34,0.575,983.0,888.5,2 (W),Bench Warmers FC,4,20,12
8,1,11,25,0.425,974.4,989.8,4 (W),Benford F.C.,5,20,12
7,1,12,22,0.375,788.0,970.6,6 (L),HappyHaalandays,6,20,12
6,1,13,19,0.325,767.0,979.5,7 (L),Mo Mané Mo Problems,7,20,12
5,1,14,16,0.275,856.1,1010.1,2 (L),Seanhampton FC,8,20,12
18,1,2,55,0.881,1234.4,917.4,8 (W),Sa Lah Land,1,21,12
12,1,8,37,0.595,1037.8,929.9,3 (W),Bench Warmers FC,2,21,12
11,1,9,34,0.548,1060.0,997.3,1 (L),RATABE,3,21,12
11,1,9,34,0.548,1054.7,977.8,2 (L),I_De_Zerbit,4,21,12
9,1,11,28,0.452,1034.9,1036.5,5 (W),Benford F.C.,5,21,12
7,1,13,22,0.357,825.5,1018.0,7 (L),HappyHaalandays,6,21,12
7,1,13,22,0.357,814.4,1017.0,1 (W),Mo Mané Mo Problems,7,21,12
5,1,15,16,0.262,902.8,1070.6,3 (L),Seanhampton FC,8,21,12
18,1,3,55,0.841,1282.3,974.9,1 (L),Sa Lah Land,1,22,12
12,1,9,37,0.568,1105.7,1024.7,1 (W),RATABE,2,22,12
12,1,9,37,0.568,1074.5,976.1,1 (L),Bench Warmers FC,3,22,12
11,1,10,34,0.523,1105.0,1028.8,3 (L),I_De_Zerbit,4,22,12
10,1,11,31,0.477,1092.4,1084.4,6 (W),Benford F.C.,5,22,12
8,1,13,25,0.386,865.4,1067.3,2 (W),Mo Mané Mo Problems,6,22,12
7,1,14,22,0.341,852.9,1063.7,8 (L),HappyHaalandays,7,22,12
6,1,15,19,0.295,949.0,1107.3,1 (W),Seanhampton FC,8,22,12
18,1,4,55,0.804,1333.7,1035.3,2 (L),Sa Lah Land,1,23,12
13,1,9,40,0.587,1134.9,1027.5,1 (W),Bench Warmers FC,2,23,12
12,1,10,37,0.543,1161.9,1093.1,1 (L),RATABE,3,23,12
12,1,10,37,0.543,1155.4,1075.8,1 (W),I_De_Zerbit,4,23,12
11,1,11,34,0.5,1160.8,1140.6,7 (W),Benford F.C.,5,23,12
8,1,14,25,0.37,916.1,1132.2,1 (L),Mo Mané Mo Problems,6,23,12
7,1,15,22,0.326,1013.9,1158.0,2 (W),Seanhampton FC,7,23,12
7,1,15,22,0.326,899.9,1114.1,9 (L),HappyHaalandays,8,23,12
19,1,4,58,0.812,1374.7,1071.3,1 (W),Sa Lah Land,1,24,12
14,1,9,43,0.604,1202.6,1056.2,2 (W),Bench Warmers FC,2,24,12
12,1,11,37,0.521,1196.4,1126.9,1 (L),I_De_Zerbit,3,24,12
12,1,11,37,0.521,1190.6,1160.8,2 (L),RATABE,4,24,12
11,1,12,34,0.479,1201.0,1181.9,1 (L),Benford F.C.,5,24,12
8,1,15,25,0.354,1065.0,1199.0,3 (W),Seanhampton FC,6,24,12
8,1,15,25,0.354,952.1,1173.2,2 (L),Mo Mané Mo Problems,7,24,12
8,1,15,25,0.354,941.2,1154.3,1 (W),HappyHaalandays,8,24,12
19,1,5,58,0.78,1374.7,1125.7,1 (L),Sa Lah Land,1,25,12
15,1,9,46,0.62,1273.2,1125.1,3 (W),Bench Warmers FC,2,25,12
13,1,11,40,0.54,1280.6,1181.3,1 (W),RATABE,3,25,12
13,1,11,40,0.54,1250.8,1126.9,1 (W),I_De_Zerbit,4,25,12
11,1,13,34,0.46,1269.9,1252.5,2 (L),Benford F.C.,5,25,12
9,1,15,28,0.38,1000.3,1210.2,2 (W),HappyHaalandays,6,25,12
8,1,16,25,0.34,1120.9,1258.1,1 (L),Seanhampton FC,7,25,12
8,1,16,25,0.34,972.6,1263.2,3 (L),Mo Mané Mo Problems,8,25,12
20,1,5,61,0.788,1444.1,1171.0,1 (W),Sa Lah Land,1,26,12
15,1,10,46,0.596,1315.4,1182.6,1 (L),Bench Warmers FC,2,26,12
14,1,11,43,0.558,1336.4,1228.6,2 (W),RATABE,3,26,12
13,1,12,40,0.519,1298.1,1182.7,1 (L),I_De_Zerbit,4,26,12
12,1,13,37,0.481,1309.1,1284.9,1 (W),Benford F.C.,5,26,12
10,1,15,31,0.404,1057.8,1252.4,3 (W),HappyHaalandays,6,26,12
8,1,17,25,0.327,1166.2,1327.5,2 (L),Seanhampton FC,7,26,12
8,1,17,25,0.327,1005.0,1302.4,4 (L),Mo Mané Mo Problems,8,26,12
21,1,5,64,0.796,1502.8,1204.6,2 (W),Sa Lah Land,1,27,12
16,1,10,49,0.611,1402.9,1226.8,1 (W),Bench Warmers FC,2,27,12
15,1,11,46,0.574,1396.2,1287.1,3 (W),RATABE,3,27,12
14,1,12,43,0.537,1373.6,1237.2,1 (W),I_De_Zerbit,4,27,12
12,1,14,37,0.463,1363.6,1360.4,1 (L),Benford F.C.,5,27,12
10,1,16,31,0.389,1091.4,1311.1,1 (L),HappyHaalandays,6,27,12
8,1,18,25,0.315,1224.7,1387.3,3 (L),Seanhampton FC,7,27,12
8,1,18,25,0.315,1049.2,1389.9,5 (L),Mo Mané Mo Problems,8,27,12
22,1,5,67,0.804,1565.4,1245.7,3 (W),Sa Lah Land,1,28,12
17,1,10,52,0.625,1468.4,1260.8,2 (W),Bench Warmers FC,2,28,12
15,1,12,46,0.554,1437.3,1349.7,1 (L),RATABE,3,28,12
14,1,13,43,0.518,1407.6,1302.7,1 (L),I_De_Zerbit,4,28,12
12,1,15,37,0.446,1392.1,1395.3,2 (L),Benford F.C.,5,28,12
11,1,16,34,0.411,1132.1,1337.9,1 (W),HappyHaalandays,6,28,12
9,1,18,28,0.339,1259.6,1415.8,1 (W),Seanhampton FC,7,28,12
8,1,19,25,0.304,1076.0,1430.6,6 (L),Mo Mané Mo Problems,8,28,12
23,1,5,70,0.81,1677.4,1331.6,4 (W),Sa Lah Land,1,29,12
17,1,11,52,0.603,1548.4,1345.7,1 (L),Bench Warmers FC,2,29,12
16,1,12,49,0.569,1537.4,1433.2,1 (W),RATABE,3,29,12
14,1,14,43,0.5,1484.6,1383.0,2 (L),I_De_Zerbit,4,29,12
12,1,16,37,0.431,1478.0,1507.3,3 (L),Benford F.C.,5,29,12
11,1,17,34,0.397,1215.6,1438.0,1 (L),HappyHaalandays,6,29,12
10,1,18,31,0.362,1344.5,1495.8,2 (W),Seanhampton FC,7,29,12
9,1,19,28,0.328,1156.3,1507.6,1 (W),Mo Mané Mo Problems,8,29,12
24,1,5,73,0.817,1727.8,1372.1,5 (W),Sa Lah Land,1,30,12
17,1,12,52,0.583,1588.9,1396.1,2 (L),Bench Warmers FC,2,30,12
16,1,13,49,0.55,1582.0,1482.2,1 (L),RATABE,3,30,12
15,1,14,46,0.517,1535.5,1420.8,1 (W),I_De_Zerbit,4,30,12
13,1,16,40,0.45,1527.0,1551.9,1 (W),Benford F.C.,5,30,12
11,1,18,34,0.383,1253.4,1488.9,2 (L),HappyHaalandays,6,30,12
10,1,19,31,0.35,1386.2,1541.8,1 (L),Seanhampton FC,7,30,12
10,1,19,31,0.35,1202.3,1549.3,2 (W),Mo Mané Mo Problems,8,30,12
25,1,5,76,0.823,1794.3,1416.8,6 (W),Sa Lah Land,1,31,12
17,1,13,52,0.565,1631.6,1439.0,3 (L),Bench Warmers FC,2,31,12
17,1,13,52,0.565,1624.9,1524.9,1 (W),RATABE,3,31,12
15,1,15,46,0.5,1574.0,1473.6,1 (L),I_De_Zerbit,4,31,12
14,1,16,43,0.468,1589.3,1594.2,2 (W),Benford F.C.,5,31,12
11,1,19,34,0.371,1439.0,1580.3,1 (W),Seanhampton FC,6,31,12
11,1,19,34,0.371,1295.7,1551.2,3 (L),HappyHaalandays,7,31,12
10,1,20,31,0.339,1247.0,1615.8,1 (L),Mo Mané Mo Problems,8,31,12
26,1,5,79,0.828,1860.3,1471.8,7 (W),Sa Lah Land,1,32,12
18,1,13,55,0.578,1688.9,1468.4,1 (W),Bench Warmers FC,2,32,12
18,1,13,55,0.578,1664.1,1556.7,2 (W),RATABE,3,32,12
15,1,16,46,0.484,1629.0,1539.6,2 (L),I_De_Zerbit,4,32,12
14,1,17,43,0.453,1618.7,1651.5,1 (L),Benford F.C.,5,32,12
12,1,19,37,0.391,1359.5,1592.4,1 (W),HappyHaalandays,6,32,12
11,1,20,34,0.359,1480.2,1644.1,1 (L),Seanhampton FC,7,32,12
10,1,21,31,0.328,1278.8,1655.0,2 (L),Mo Mané Mo Problems,8,32,12
27,1,5,82,0.833,1894.6,1505.8,8 (W),Sa Lah Land,1,33,12
18,1,14,55,0.561,1725.6,1524.4,1 (L),Bench Warmers FC,2,33,12
18,1,14,55,0.561,1712.1,1613.7,1 (L),RATABE,3,33,12
16,1,16,49,0.5,1686.0,1587.6,1 (W),I_De_Zerbit,4,33,12
15,1,17,46,0.47,1689.6,1683.6,1 (W),Benford F.C.,5,33,12
13,1,19,40,0.409,1415.5,1629.1,2 (W),HappyHaalandays,6,33,12
11,1,21,34,0.348,1514.2,1678.4,2 (L),Seanhampton FC,7,33,12
10,1,22,31,0.318,1310.9,1725.9,3 (L),Mo Mané Mo Problems,8,33,12
28,1,5,85,0.838,1967.5,1562.8,9 (W),Sa Lah Land,1,34,12
19,1,14,58,0.574,1816.4,1583.2,1 (W),Bench Warmers FC,2,34,12
18,1,15,55,0.544,1753.8,1677.6,2 (L),RATABE,3,34,12
17,1,16,52,0.515,1768.9,1668.1,2 (W),I_De_Zerbit,4,34,12
15,1,18,46,0.456,1770.1,1766.5,1 (L),Benford F.C.,5,34,12
13,1,20,40,0.397,1472.5,1702.0,1 (L),HappyHaalandays,6,34,12
12,1,21,37,0.368,1578.1,1720.1,1 (W),Seanhampton FC,7,34,12
10,1,23,31,0.309,1369.7,1816.7,4 (L),Mo Mané Mo Problems,8,34,12
29,1,5,88,0.843,2027.8,1598.1,10 (W),Sa Lah Land,1,35,12
19,1,15,58,0.557,1846.3,1621.4,1 (L),Bench Warmers FC,2,35,12
18,1,16,55,0.529,1807.1,1698.0,3 (W),I_De_Zerbit,3,35,12
18,1,16,55,0.529,1789.1,1737.9,3 (L),RATABE,4,35,12
15,1,19,46,0.443,1795.0,1803.3,2 (L),Benford F.C.,5,35,12
13,1,21,40,0.386,1614.9,1745.0,2 (W),Seanhampton FC,6,35,12
13,1,21,40,0.386,1513.9,1751.5,2 (L),HappyHaalandays,7,35,12
11,1,23,34,0.329,1419.2,1858.1,1 (W),Mo Mané Mo Problems,8,35,12
30,1,5,91,0.847,2110.8,1652.4,11 (W),Sa Lah Land,1,36,12
20,1,15,61,0.569,1901.6,1669.0,1 (W),Bench Warmers FC,2,36,12
19,1,16,58,0.542,1867.6,1740.2,4 (W),I_De_Zerbit,3,36,12
18,1,17,55,0.514,1826.8,1830.8,4 (L),RATABE,4,36,12
15,1,20,46,0.431,1849.3,1886.3,3 (L),Benford F.C.,5,36,12
14,1,21,43,0.403,1606.8,1789.2,1 (W),HappyHaalandays,6,36,12
13,1,22,40,0.375,1662.5,1800.3,1 (L),Seanhampton FC,7,36,12
11,1,24,34,0.319,1461.4,1918.6,1 (L),Mo Mané Mo Problems,8,36,12
30,1,5,91,0.847,2110.8,1652.4,11 (W),Sa Lah Land,1,37,12
20,1,15,61,0.569,1901.6,1669.0,1 (W),Bench Warmers FC,2,37,12
19,1,16,58,0.542,1867.6,1740.2,4 (W),I_De_Zerbit,3,37,12
18,1,17,55,0.514,1826.8,1830.8,4 (L),RATABE,4,37,12
15,1,20,46,0.431,1849.3,1886.3,3 (L),Benford F.C.,5,37,12
14,1,21,43,0.403,1606.8,1789.2,1 (W),HappyHaalandays,6,37,12
13,1,22,40,0.375,1662.5,1800.3,1 (L),Seanhampton FC,7,37,12
11,1,24,34,0.319,1461.4,1918.6,1 (L),Mo Mané Mo Problems,8,37,12
30,1,5,91,0.847,2110.8,1652.4,11 (W),Sa Lah Land,1,38,12
20,1,15,61,0.569,1901.6,1669.0,1 (W),Bench Warmers FC,2,38,12
19,1,16,58,0.542,1867.6,1740.2,4 (W),I_De_Zerbit,3,38,12
18,1,17,55,0.514,1826.8,1830.8,4 (L),RATABE,4,38,12
15,1,20,46,0.431,1849.3,1886.3,3 (L),Benford F.C.,5,38,12
14,1,21,43,0.403,1606.8,1789.2,1 (W),HappyHaalandays,6,38,12
13,1,22,40,0.375,1662.5,1800.3,1 (L),Seanhampton FC,7,38,12
11,1,24,34,0.319,1461.4,1918.6,1 (L),Mo Mané Mo Problems,8,38,12
1,0,0,3,1.0,194.5,168.0,1 (W),Cursed BrunOnana,1,1,13
1,0,0,3,1.0,163.75,159.0,1 (W),The ThiaGOAT,2,1,13
1,0,0,3,1.0,131.5,87.75,1 (W),Seanhampton FC,3,1,13
1,0,0,3,1.0,128.0,125.75,1 (W),HappyHaalandays,4,1,13
1,0,0,3,1.0,123.5,87.5,1 (W),Chicken ASzobo,5,1,13
0,0,1,0,0.0,168.0,194.5,1 (L),Thottenham Hotsluts,6,1,13
0,0,1,0,0.0,159.0,163.75,1 (L),Zenright,7,1,13
0,0,1,0,0.0,125.75,128.0,1 (L),RATABE,8,1,13
0,0,1,0,0.0,87.75,131.5,1 (L),Benford FC,9,1,13
0,0,1,0,0.0,87.5,123.5,1 (L),Cheasle FC,10,1,13
2,0,0,6,1.0,322.0,272.25,2 (W),The ThiaGOAT,1,2,13
2,0,0,6,1.0,300.25,216.75,2 (W),Chicken ASzobo,2,2,13
2,0,0,6,1.0,258.5,189.25,2 (W),Seanhampton FC,3,2,13
1,0,1,3,0.5,323.75,344.75,1 (L),Cursed BrunOnana,4,2,13
1,0,1,3,0.5,283.0,307.75,1 (W),Thottenham Hotsluts,5,2,13
1,0,1,3,0.5,241.25,240.75,1 (L),HappyHaalandays,6,2,13
1,0,1,3,0.5,216.25,236.75,1 (W),Benford FC,7,2,13
0,0,2,0,0.0,264.25,292.25,2 (L),Zenright,8,2,13
0,0,2,0,0.0,239.0,286.25,2 (L),RATABE,9,2,13
0,0,2,0,0.0,189.0,250.5,2 (L),Cheasle FC,10,2,13
3,0,0,9,1.0,415.75,305.0,3 (W),Seanhampton FC,1,3,13
2,0,1,6,0.667,451.0,428.75,1 (L),The ThiaGOAT,2,3,13
2,0,1,6,0.667,439.5,436.75,2 (W),Thottenham Hotsluts,3,3,13
2,0,1,6,0.667,420.5,365.25,1 (W),HappyHaalandays,4,3,13
2,0,1,6,0.667,416.0,374.0,1 (L),Chicken ASzobo,5,3,13
2,0,1,6,0.667,365.0,369.25,2 (W),Benford FC,6,3,13
1,0,2,3,0.333,448.25,524.0,2 (L),Cursed BrunOnana,7,3,13
1,0,2,3,0.333,331.5,392.75,1 (W),Cheasle FC,8,3,13
0,0,3,0,0.0,406.5,434.75,3 (L),Zenright,9,3,13
0,0,3,0,0.0,371.5,435.0,3 (L),RATABE,10,3,13
4,0,0,12,1.0,565.25,419.75,4 (W),Seanhampton FC,1,4,13
3,0,1,9,0.75,608.0,483.25,1 (W),Chicken ASzobo,2,4,13
3,0,1,9,0.75,603.5,541.75,1 (W),The ThiaGOAT,3,4,13
3,0,1,9,0.75,598.5,559.75,3 (W),Thottenham Hotsluts,4,4,13
2,0,2,6,0.5,529.75,557.25,1 (L),HappyHaalandays,5,4,13
